Replicate,Harvest,Fauna Treatment,"Litter type (B, E, NL)",Soil depth (cm),Fraction,bulk density (g/cm3),volume (cm3),fraction %,g of soil in total section,Delta 13C,% Carbon,mgC/g soil,Carbon f value,litter derived C (mg/ g soil),g C in the soil in total section  ,mg litter-derived C in total section,Delta 15 N,% Nitrogen,mgN/g soil,Nitrogen f value,litter derived N (mg/ g soil),g N in the soil in total section  ,mg litter-derived N in total section,13C atom%,15 atom%
R3,H1,F,E,5-Feb,BULK,0.922677204,942.4777961,100,869.6027778,-8.81014,4.421766524,44.21766524,0.002866112,0.126732772,38.45180452,110.2071703,41.55,0.271878031,2.718780315,0.003852509,0.010474126,2.364258914,9.108328662,1.096004882,0.381465129
R3,H1,NF,E,5-Feb,BULK,0.922677204,942.4777961,100,869.6027778,-10.5224,4.421766524,44.21766524,0.002061429,0.091151566,38.45180452,79.2656549,37.7604,0.271878031,2.718780315,0.003552458,0.009658352,2.364258914,8.398929925,1.094132272,0.380082472
R4,H1,F,B,5-Feb,BULK,0.922677204,942.4777961,100,869.6027778,-14.90885,4.421766524,44.21766524,,,,,2.31359,0.271878031,2.718780315,,,,,1.089334715,0.36714765
R4,H1,NF,B,5-Feb,BULK,0.922677204,942.4777961,100,869.6027778,-14.90885,4.421766524,44.21766524,,,,,1.70805,0.271878031,2.718780315,,,,,1.089334715,0.366926655
R4,H1,F,E,5-Feb,BULK,0.922677204,942.4777961,100,869.6027778,-5.06276,4.421766524,44.21766524,0.004627207,0.204604298,38.45180452,177.9244656,50.7744,0.271878031,2.718780315,0.004702018,0.012783753,2.364258914,11.11678696,1.100102951,0.384830542
R4,H1,NF,E,5-Feb,BULK,0.922677204,942.4777961,100,869.6027778,-8.99342,4.421766524,44.21766524,0.002779979,0.122924166,38.45180452,106.8951961,39.4088,0.271878031,2.718780315,0.003657784,0.009944711,2.364258914,8.647948371,1.095804442,0.380683905
R1,H1,F,B,10-May,BULK,1.112112849,1570.796327,100,1746.902778,-13.99257,3.824074403,38.24074403,,,,,2.62151,0.347024328,3.470243279,,,,,1.090336909,0.367260027
R1,H1,NF,B,10-May,BULK,1.112112849,1570.796327,100,1746.902778,-13.99257,3.824074403,38.24074403,,,,,3.60716,0.347024328,3.470243279,,,,,1.090336909,0.367619743
R1,H1,F,E,10-May,BULK,1.112112849,1570.796327,100,1746.902778,-12.8102,3.824074403,38.24074403,0.000555899,0.021257977,66.80286198,37.13561883,16.5675,0.347024328,3.470243279,0.001353181,0.004695867,6.062177623,8.203223815,1.091630113,0.372349419
R1,H1,NF,E,10-May,BULK,1.112112849,1570.796327,100,1746.902778,-13.1522,3.824074403,38.24074403,0.000395105,0.015109116,66.80286198,26.3941575,21.3027,0.347024328,3.470243279,0.001717165,0.005958979,6.062177623,10.40975645,1.091256058,0.374077345
