Watershed,REP,TIME,COVER,DEPTH,FRACTION,N_Pct,C_Pct,d15N,d13C,Bulk_Density_g_cm3,Volume_cm3,fraction %,g of soil in total section,mg_N_g_soil,N_F_Value,mg_Derived_N_g_Soil,Total_g_N,Total_derived_mg_N,Total_mg_N,mg_C_g_soil,C_F_Value,mg_Derived_C_g_soil,Total_g_C,Total_derived_mg_C,Total_mg_C,CN_Ratio,Derived_CN
R20B,R4,11mts,L,0-2,SILT,0.282816703,2.978514748,267.502,24.975,0.436,628.3185307,62.85204284,172.0102772,1.777560751,0.013955384,0.024806543,0.486473794,6.788928581,305.7587175,18.72057366,0.012917134,0.241816158,5.123351476,66.17901753,3220.131064,10.53160836,9.748079795
SPB,R1,11mts,B,0-2,SILT,0.34754106,4.412155359,1.20966,-15.92,0.335,628.3185307,67.04455052,141.2800885,2.330073417,,,0.491006318,,329.1929786,29.58109728,,,6.233496997,,4179.220043,12.69534989,#DIV/0!
SPB,R1,11mts,C,0-2,SILT,0.386195317,5.032823716,47.5099,-1.46673,0.335,628.3185307,61.04129264,128.6296822,2.357386133,0.00261171,0.006156809,0.496761808,1.297397809,303.2298292,30.72100652,0.004663555,0.143269115,6.473705154,30.1904824,3951.633307,13.0318093,23.27002728
SPB,R1,11mts,L,0-2,SILT,0.371314755,4.65593935,515.769,53.3079,0.335,628.3185307,58.23517668,122.7164752,2.162358035,0.026728477,0.057796537,0.455664379,12.17921483,265.3569561,27.11394507,0.02261544,0.613193811,5.713604656,129.2156861,3327.327767,12.53906366,10.60952515
SPB,R2,11mts,B,0-2,SILT,0.351601261,4.360271933,1.81203,-16.23,0.335,628.3185307,68.8267935,145.0357323,2.419958741,,,0.509947464,,350.9804881,30.01035359,,,6.323952327,,4352.573609,12.40118399,#DIV/0!
SPB,R2,11mts,C,0-2,SILT,0.354127151,4.550104544,33.6285,-6.95385,0.335,628.3185307,64.11024566,135.0967545,2.270317866,0.001794769,0.004074695,0.478414288,0.858642955,306.7125755,29.17083201,0.002990219,0.087227185,6.147043566,18.38100832,3940.884731,12.84878758,21.40704495
SPB,R2,11mts,L,0-2,SILT,0.283885016,3.793768782,501.961,48.6875,0.335,628.3185307,59.7029703,125.8094933,1.694877869,0.025980752,0.044034201,0.3571543,9.279137236,213.2317259,22.64992649,0.021202164,0.480227453,4.772921282,101.1962591,2849.575775,13.3637514,10.90578321
SPB,R3,11mts,B,0-2,SILT,0.3486934,4.196975764,1.53469,-16.63,0.335,628.3185307,69.74097331,146.962144,2.431821713,,,0.512447297,,357.3857326,29.27011747,,,6.167965564,,4301.599218,12.03629251,#DIV/0!
SPB,R3,11mts,C,0-2,SILT,0.281828408,3.673920119,30.2762,-8.58573,0.335,628.3185307,69.04668497,145.4991001,1.945931728,0.001621285,0.003154909,0.410057797,0.664820398,283.1313152,25.3672005,0.002593183,0.065781783,5.345520711,13.8619114,3690.904846,13.03601773,20.85061084
SPB,R3,11mts,L,0-2,SILT,0.261012025,3.364042064,355.411,27.783,0.335,628.3185307,63.94192522,134.7420601,1.668961138,0.018382203,0.030679183,0.351692979,6.464891904,224.8792619,21.51033261,0.014503571,0.311976639,4.532779581,65.74149097,2898.34653,12.88845625,10.1690008
SPB,R4,11mts,B,0-2,SILT,0.428754718,5.597162735,1.57728,-15.86,0.335,628.3185307,65.29798684,137.5996303,2.799681994,,,0.589964907,,385.2352072,36.54834586,,,7.701675229,,5029.038878,13.05446331,#DIV/0!
SPB,R4,11mts,C,0-2,SILT,0.305308524,3.828466708,28.8526,-4.33667,0.335,628.3185307,69.16483955,145.7480821,2.111661506,0.001538582,0.003248964,0.444981318,0.684640139,307.7706146,26.47952856,0.003716722,0.09841705,5.579916802,20.73900038,3859.340503,12.53966532,30.29182663
SPB,R4,11mts,L,0-2,SILT,0.272843354,3.480824677,307.594,27.6472,0.335,628.3185307,64.98710573,136.9445239,1.773129988,0.015896159,0.028185956,0.373644032,5.939504902,242.8204421,22.62087213,0.014212002,0.321487875,4.766798783,67.74575277,3097.804565,12.7575938,11.40595957
R20B,R1,11mts,B,0-2,CLAY,0.385861629,3.972935469,4.10365,-13.49,0.436,628.3185307,22.46967588,61.49386722,0.867018573,,,0.237281238,,53.31632501,8.927057228,,,2.443111662,,548.9592719,10.29626989,#DIV/0!
R20B,R1,11mts,C,0-2,CLAY,0.400550234,4.172175641,29.2774,-6.95067,0.436,628.3185307,17.05882353,46.68572145,0.683291576,0.001420236,0.000970435,0.186999766,0.265583812,31.89996016,7.1172408,0.002110837,0.015023338,1.947810298,4.111510734,332.2735214,10.41611086,15.48102917
R20B,R1,11mts,L,0-2,CLAY,0.43494673,4.613621207,358.245,36.3665,0.436,628.3185307,19.68519625,53.87344487,0.856201174,0.018398426,0.015752754,0.234320787,4.311133706,46.12650673,9.082003891,0.016298877,0.148026468,2.485516678,40.51113173,489.2788359,10.60732474,9.396862748
R20B,R2,11mts,B,0-2,CLAY,0.404323354,4.145307413,3.21207,-14.04,0.436,628.3185307,19.41362916,53.13023384,0.784938365,,,0.214817943,,41.70395891,8.047546088,,,2.202411522,,427.5680055,10.25245604,#DIV/0!
R20B,R2,11mts,C,0-2,CLAY,0.418276973,4.552327626,23.1677,-7.85156,0.436,628.3185307,17.49213836,47.87159547,0.731655869,0.001125787,0.000823689,0.200235861,0.225422923,35.02553379,7.962994471,0.00199631,0.015896604,2.179271865,4.350501699,381.20125,10.88352435,19.29928702
R20B,R2,11mts,L,0-2,CLAY,0.465180597,5.058133622,276.618,25.0584,0.436,628.3185307,16.85640104,46.13174186,0.784127069,0.014203385,0.011137258,0.214595912,3.047988299,36.17314753,8.526192885,0.012778655,0.108953278,2.333405145,29.81777945,393.3281292,10.87348368,9.782773594
R20B,R3,11mts,B,0-2,CLAY,0.363631747,3.754517402,3.74193,-13.70,0.436,628.3185307,19.9960008,54.72403896,0.727118071,,,0.198993979,,39.79083766,7.507533298,,,2.054623566,,410.8425447,10.32505393,#DIV/0!
R20B,R3,11mts,C,0-2,CLAY,0.407755226,4.378565852,23.5001,-6.50235,0.436,628.3185307,17.35015773,47.48303008,0.707461749,0.001114681,0.000788594,0.193614537,0.215818384,33.59242751,7.596880815,0.002322259,0.017641923,2.07907574,4.828151868,360.7229203,10.73822129,22.37136508
R20B,R3,11mts,L,0-2,CLAY,0.467328228,4.925412814,347.122,33.8643,0.436,628.3185307,16.6268419,45.50349606,0.777019255,0.017839019,0.013861261,0.212650682,3.793479485,35.35709262,8.189406013,0.015547514,0.127324907,2.241235026,34.84563371,372.6466043,10.53951489,9.185665521
R20B,R4,11mts,B,0-2,CLAY,0.405639979,4.128110422,3.76389,-13.44,0.436,628.3185307,21.8,59.6611323,0.884295154,,,0.242009404,,52.75805016,8.99928072,,,2.462877421,,536.9072777,10.17678394,#DIV/0!
R20B,R4,11mts,C,0-2,CLAY,0.395535671,4.22239607,23.8062,-6.95765,0.436,628.3185307,17.89264414,48.96767931,0.707717901,0.001130712,0.000800225,0.193684639,0.219001581,34.6553032,7.554983027,0.002093412,0.015815689,2.067609367,4.328357377,369.9499861,10.67513344,19.76404628
R20B,R4,11mts,L,0-2,CLAY,0.455033984,5.071058526,283.377,24.9437,0.436,628.3185307,18.78222927,51.40225072,0.854655262,0.014526263,0.012414947,0.233897709,3.397659629,43.93120405,9.524578389,0.012549349,0.119527259,2.606638217,32.71161296,489.5847663,11.1443512,9.6276898
SPB,R1,11mts,B,0-2,CLAY,0.553970679,6.316380998,4.37652,-15.41,0.335,628.3185307,6.165473349,12.99223597,0.341549146,,,0.071973178,,4.437487094,3.894347871,,,0.820639124,,50.59628648,11.40201321,#DIV/0!
SPB,R1,11mts,C,0-2,CLAY,0.702513158,7.67228197,74.7247,3.33872,0.335,628.3185307,5.186515061,10.92931941,0.364359508,0.003968918,0.001446113,0.076779907,0.304733187,3.982201437,3.979240599,0.006047835,0.024065789,0.838528202,5.071279852,43.4903915,10.92119326,16.64170516
SPB,R1,11mts,L,0-2,CLAY,0.899326484,10.01699115,794.993,87.288,0.335,628.3185307,5.3703334,11.31667186,0.482968306,0.041074857,0.019837854,0.101773827,4.180345362,5.465593833,5.379458212,0.033552108,0.180492165,1.133590018,38.03433512,60.87756338,11.13832554,9.098371503
SPB,R2,11mts,B,0-2,CLAY,0.580615266,7.088144069,3.74309,-16.42,0.335,628.3185307,5.94530321,12.52828093,0.345193381,,,0.072741112,,4.324679648,4.214116569,,,0.888022602,,52.79563627,12.20798777,#DIV/0!
SPB,R2,11mts,C,0-2,CLAY,0.629535968,7.282983595,56.5584,2.50507,0.335,628.3185307,6.990213701,14.73017573,0.440059095,0.002979639,0.001311217,0.092731754,0.276307132,6.482147798,5.090961171,0.006103508,0.031072721,1.072796282,6.547820498,74.99075266,11.56881253,23.69761664
SPB,R2,11mts,L,0-2,CLAY,0.825099281,9.343754379,765.566,74.9356,0.335,628.3185307,5.623762376,11.85071181,0.464016229,0.039577643,0.018364669,0.097780138,3.869907426,5.498922605,5.254705433,0.029837308,0.156786263,1.107301403,33.03889266,62.27199972,11.3244001,8.537385789
SPB,R3,11mts,B,0-2,CLAY,0.51274303,5.548810725,3.96489,-15.83,0.335,628.3185307,8.241758242,17.36750154,0.42259041,,,0.089050654,,7.339339589,4.573195653,,,0.963689788,,79.42498252,10.82181599,#DIV/0!
SPB,R3,11mts,C,0-2,CLAY,0.527323429,6.058052697,47.3915,0.547282,0.335,628.3185307,7.846214202,16.53398865,0.413749258,0.002449995,0.001013683,0.087187596,0.21360915,6.840925537,4.75327791,0.005282837,0.025110792,1.001637745,5.291488771,78.59064301,11.48830558,24.77182634
SPB,R3,11mts,L,0-2,CLAY,0.742342553,7.939623837,511.907,43.0495,0.335,628.3185307,6.125696102,12.90841509,0.454736488,0.026388526,0.011999825,0.095824658,2.52867144,5.869927346,4.863572279,0.019234141,0.093546634,1.024879602,19.71267859,62.7810098,10.69536403,7.795666245
SPB,R4,11mts,B,0-2,CLAY,0.580567774,6.376231363,4.01632,-15.23,0.335,628.3185307,5.182379908,10.92060558,0.300872277,,,0.063401517,,3.285707462,3.304405331,,,0.696323078,,36.08610728,10.98275111,#DIV/0!
SPB,R4,11mts,C,0-2,CLAY,0.55791081,6.521898061,47.5543,-2.02968,0.335,628.3185307,6.776958342,14.28079191,0.378093832,0.002456285,0.000928706,0.079674082,0.195702252,5.399479331,4.419863147,0.004259874,0.018828058,0.931378691,3.967555473,63.11914587,11.68985785,20.27342778
SPB,R4,11mts,L,0-2,CLAY,0.714090799,8.227244092,433.125,34.8754,0.335,628.3185307,5.038682801,10.61779886,0.359807703,0.022293044,0.008021209,0.075820725,1.690274726,3.820365817,4.145447331,0.016372124,0.067869778,0.87355223,14.30190556,44.01552596,11.52128567,8.461290548
R20B,R1,11mts,B,2-5,LF,1.261858595,27.46117747,0.318262,-14.05,0.583,942.4777961,2.292490119,12.60270874,0.289279836,,,0.159028363,,3.645709518,6.2954478,,,3.460852213,,79.33969501,21.76248399,#DIV/0!
R20B,R1,11mts,C,2-5,LF,1.504260701,33.27172731,1733.74,843.936,0.583,942.4777961,2.304330552,12.6678002,0.346631389,0.097774166,0.033891595,0.19055674,18.63152635,4.391057183,7.666905776,0.276918072,2.123104768,4.214795939,1167.153167,97.12283054,22.11832515,62.64399086
R20B,R1,11mts,L,2-5,LF,1.257724974,29.9087604,236.669,4.02994,0.583,942.4777961,2.091633466,11.49852169,0.263069965,0.012276529,0.003229586,0.144619779,1.775428936,3.024915697,6.255816418,0.00591098,0.036978005,3.439065303,20.32824602,71.9326408,23.78004811,11.44976609
R20B,R2,11mts,B,2-5,LF,1.509502786,30.47765433,-0.547611,-17.05,0.583,942.4777961,3.575661794,19.65680191,0.539747144,,,0.296719972,,10.60970269,10.89777841,,,5.990932137,,214.2154715,20.1905254,#DIV/0!
R20B,R2,11mts,C,2-5,LF,1.369764705,31.60698036,1941.15,268.01,0.583,942.4777961,2.819400631,15.49934051,0.386191547,0.10951668,0.042294416,0.212304496,23.25088342,5.985714293,8.911274037,0.091915163,0.819081203,4.898873512,450.2807557,138.1188707,23.07475164,19.36617837
R20B,R2,11mts,L,2-5,LF,1.280828638,29.63324974,124.148,-6.71757,0.583,942.4777961,2.813809619,15.46860455,0.360400794,0.006476648,0.002334189,0.198126317,1.283194352,5.574897365,8.338232314,0.003374325,0.028135907,4.583850216,15.46740079,128.9808183,23.13599872,12.0538255
R20B,R3,11mts,B,2-5,LF,1.444890906,31.36372896,0.463635,-15.50,0.583,942.4777961,2.194543298,12.06425702,0.317087565,,,0.174315352,,3.825425885,6.882906118,,,3.783800871,,83.03714842,21.70664154,#DIV/0!
R20B,R3,11mts,C,2-5,LF,1.215417677,29.28003225,1237.34,534.199,0.583,942.4777961,2.412974684,13.2650592,0.293277209,0.069766949,0.020461056,0.161225874,11.24823743,3.890339533,7.065197656,0.177332876,1.252891821,3.884013611,688.763305,93.72026515,24.09051044,61.23299846
R20B,R3,11mts,L,2-5,LF,1.14810196,29.28028135,164.934,-3.74115,0.583,942.4777961,2.306621595,12.68039495,0.264823677,0.008542984,0.002262384,0.145583863,1.243720555,3.358068822,6.753852926,0.003840651,0.025939191,3.712855318,14.2597811,85.64152255,25.50320648,11.46542207
R20B,R4,11mts,B,2-5,LF,1.344427476,29.62259287,0.0735225,-15.77,0.583,942.4777961,2.342519685,12.8777407,0.314934783,,,0.173131884,,4.05564847,6.939150693,,,3.814720699,,89.3605833,22.03361163,#DIV/0!
R20B,R4,11mts,C,2-5,LF,1.479051586,31.13023282,865.805,392.225,0.583,942.4777961,2.663247189,14.64090438,0.393907998,0.048831166,0.019234987,0.216546528,10.57421949,5.767169331,8.290750504,0.131607534,1.09112523,4.55774762,599.8339258,121.3840854,21.04742871,56.72607103
R20B,R4,11mts,L,2-5,LF,1.269205002,31.85392551,104.876,-9.13312,0.583,942.4777961,1.888292586,10.38067788,0.239663039,0.005443581,0.001304625,0.131752083,0.717203096,2.487864814,6.014953137,0.002167189,0.013035542,3.306653401,7.166143826,62.43929101,25.09754174,9.991791534
SPB,R1,11mts,B,2-5,LF,1.357173864,28.25885587,0.750043,-18.91,0.598,942.4777961,1.716314855,9.666918905,0.232933766,,,0.131196897,,2.25175183,4.850109411,,,2.73176068,,46.88561436,20.82183913,#DIV/0!
SPB,R1,11mts,C,2-5,LF,1.426547813,30.28011031,319.956,12.9147,0.598,942.4777961,6.067864271,34.17645176,0.86560985,0.018005345,0.015585604,0.487543425,8.778387555,29.58347329,18.37355995,0.010254456,0.188410864,10.34866729,106.1199546,627.9430851,21.22614471,12.08877529
SPB,R1,11mts,L,2-5,LF,1.343186133,28.49623236,171.454,-11.7256,0.598,942.4777961,7.59392486,42.77178839,1.020005457,0.008866903,0.00904429,0.57450473,5.094077819,43.62745755,21.63982474,0.002343581,0.05071469,12.18834821,28.56438552,925.5740045,21.21540095,5.607371254
SPB,R2,11mts,B,2-5,LF,1.341799678,26.41762491,1.49757,-19.02,0.598,942.4777961,3.545400827,19.96900638,0.475721769,,,0.267944063,,9.499691033,9.36610692,,,5.275337202,,187.0318488,19.68820335,#DIV/0!
SPB,R2,11mts,C,2-5,LF,1.244161015,29.32508308,1019.97,200.689,0.598,942.4777961,3.82341348,21.53487628,0.4756942,0.05745106,0.027329136,0.267928535,15.39277845,10.24401573,11.2121918,0.070796731,0.793786528,6.31512036,447.0898779,241.4531632,23.57016715,29.04543058
SPB,R2,11mts,L,2-5,LF,1.265054486,28.42580656,170.882,-8.10205,0.598,942.4777961,3.691141261,20.7898703,0.466949481,0.008798704,0.00410855,0.263003187,2.314087302,9.707819149,10.49236675,0.003561407,0.037367585,5.909688316,21.04680334,218.1349438,22.4700255,9.095077494
SPB,R3,11mts,B,2-5,LF,1.278152601,26.07598015,2.21711,-19.49,0.598,942.4777961,2.875973637,16.1985453,0.367593318,,,0.207042128,,5.95447702,7.499383148,,,4.223929457,,121.4790976,20.4013043,#DIV/0!
SPB,R3,11mts,C,2-5,LF,1.3261227,29.58528629,729.008,198.252,0.598,942.4777961,4.98015873,28.05009258,0.660430154,0.040999246,0.027077139,0.371978645,15.25084414,18.52512697,14.73394218,0.070152957,1.033629616,8.298700193,582.1783602,413.2884422,22.30961454,38.17351714
SPB,R3,11mts,L,2-5,LF,1.042007372,25.60936498,147.689,-9.89361,0.598,942.4777961,2.843137255,16.01359867,0.296256998,0.007556846,0.002238768,0.166862879,1.26095703,4.74414067,7.281093966,0.003130412,0.022792821,4.10098093,12.83775801,116.5965166,24.57695182,10.18096391
SPB,R4,11mts,B,2-5,LF,1.468258602,28.5888404,-0.366381,-18.59,0.598,942.4777961,5.410742496,30.47529932,0.794436921,,,0.447456204,,24.21070296,15.46868537,,,8.712534684,,471.4128166,19.47125688,#DIV/0!
SPB,R4,11mts,C,2-5,LF,0.973141891,23.73516336,339.934,92.7111,0.598,942.4777961,2.722575517,15.33455045,0.264945229,0.019194002,0.005085359,0.149226934,2.864262144,4.062815978,6.462077464,0.03586983,0.231793618,3.6396806,130.5547233,99.09305289,24.39023905,45.58057772
SPB,R4,11mts,L,2-5,LF,0.984688664,24.01812813,161.534,-13.0605,0.598,942.4777961,1.689524945,9.516028243,0.166365606,0.00840913,0.00139899,0.093703251,0.787962818,1.583139807,4.057922661,0.00180436,0.007321955,2.285571856,4.123995483,38.61530665,24.39159605,5.233743761
R20B,R1,11mts,B,2-5,POM,0.446387437,7.082397719,3.94396,-14.29,0.583,942.4777961,7.154150198,39.32914279,0.319352277,,,0.175560353,,12.55985131,5.066853704,,,2.785446312,,199.2750128,15.8660328,#DIV/0!
R20B,R1,11mts,C,2-5,POM,0.433129135,7.699112566,18.3704,-8.33221,0.583,942.4777961,6.019070322,33.08916777,0.260703472,0.000813894,0.000212185,0.143318826,0.116646342,8.626460922,4.634149995,0.001923966,0.008915948,2.547572274,4.901443162,153.3401667,17.77555918,42.0196903
R20B,R1,11mts,L,2-5,POM,0.176248191,3.653853771,107.893,-1.27619,0.583,942.4777961,10.89641434,59.90182254,0.192047332,0.005400338,0.00103712,0.105575879,0.570145395,11.50398518,3.981390463,0.004254578,0.016939136,2.188725002,9.312101097,238.492545,20.73129801,16.33285329
R20B,R2,11mts,B,2-5,POM,0.50430047,8.113618197,1.05005,-15.76,0.583,942.4777961,7.013038325,38.55339601,0.353667852,,,0.194424957,,13.63509675,5.690111537,,,3.128075354,,219.3731234,16.08885711,#DIV/0!
R20B,R2,11mts,C,2-5,POM,0.551996433,9.83436702,13.914,-11.4388,0.583,942.4777961,6.48659306,35.65932188,0.358057623,0.000725625,0.000259816,0.196838185,0.14283068,12.76809204,6.379153686,0.001393844,0.008891546,3.50686859,4.888028024,227.4762946,17.8159974,34.22253559
R20B,R2,11mts,L,2-5,POM,0.413325057,7.419995364,79.8593,-6.5909,0.583,942.4777961,7.423667931,40.81078646,0.306838797,0.004093665,0.001256095,0.168681206,0.690524415,12.52233263,5.508358163,0.002995259,0.016498961,3.028158464,9.070119834,224.8004288,17.95196115,13.13511824
R20B,R3,11mts,B,2-5,POM,0.47598945,7.49202294,1.2886,-14.34,0.583,942.4777961,5.733491499,31.51923004,0.272908147,,,0.15002821,,8.601854657,4.295544984,,,2.361427945,,135.3922705,15.73989283,#DIV/0!
R20B,R3,11mts,C,2-5,POM,0.585568209,8.79068368,7.05102,2.61235,0.583,942.4777961,5.953322785,32.72772802,0.348607656,0.000325049,0.000113314,0.191643171,0.062293382,11.40913656,5.233377744,0.005471285,0.028633303,2.876991046,,171.2765634,15.01222836,0
R20B,R3,11mts,L,2-5,POM,0.101325011,2.367359009,78.5536,-5.64127,0.583,942.4777961,13.18353549,72.47501598,0.133582188,0.004013501,0.000536132,0.073435318,0.294732696,9.681371219,3.121016152,0.002843376,0.008874222,1.71574382,4.878504396,226.1956955,23.36401428,16.55230136
R20B,R4,11mts,B,2-5,POM,0.38756817,6.41838949,1.6296,-14.32,0.583,942.4777961,6.358267717,34.95386762,0.246426218,,,0.135470065,,8.613549406,4.080983869,,,2.243475365,,142.6461699,16.5606724,#DIV/0!
R20B,R4,11mts,C,2-5,POM,0.472620451,7.267918058,5.36433,-12.1639,0.583,942.4777961,7.279542316,40.01847197,0.344046057,0.000210674,7.24816E-05,0.189135483,0.039845954,13.7681975,5.290711705,0.000695503,0.003679708,2.908509751,2.022878374,211.7261981,15.37791698,50.76747258
R20B,R4,11mts,L,2-5,POM,0.34552478,6.919414606,74.5979,-7.01326,0.583,942.4777961,4.034983105,22.18186958,0.139418665,0.003790377,0.000528449,0.076643856,0.290509136,3.092566646,2.791972103,0.002387734,0.006666485,1.534855524,3.664826036,61.93116107,20.02581291,12.61518341
SPB,R1,11mts,B,2-5,POM,0.524675909,7.306816144,2.60684,-16.51,0.598,942.4777961,9.291773525,52.3346989,0.487516972,,,0.274587557,,25.51405395,6.78932808,,,3.824000228,,355.3174408,13.92634199,#DIV/0!
SPB,R1,11mts,C,2-5,POM,0.778473253,11.51410141,5.91028,-18.3148,0.598,942.4777961,12.99401198,73.18707267,1.011549078,0.000186356,0.000188508,0.569741786,0.106174553,74.03231586,14.96143717,-0.000583106,-0.008724109,8.426833769,-4.913740072,1094.983789,14.79061916,-46.279828
SPB,R1,11mts,L,2-5,POM,0.640075856,9.285722424,83.96,-7.47834,0.598,942.4777961,9.792166267,55.15309556,0.62677292,0.004226148,0.002648835,0.353021648,1.491921704,34.56846677,9.092733788,0.002948629,0.026811097,5.121363362,15.10099961,501.4924155,14.50722183,10.12184458
SPB,R2,11mts,B,2-5,POM,0.582026056,7.941424981,2.87569,-16.51,0.598,942.4777961,10.95134922,61.68204192,0.63739706,,,0.359005556,,39.31595218,8.696931828,,,4.898433085,,536.4445136,13.64444923,#DIV/0!
SPB,R2,11mts,C,2-5,POM,0.520089152,7.734990444,7.1508,-15.2465,0.598,942.4777961,14.60386283,82.25434702,0.759531063,0.000241174,0.000183179,0.427795936,0.103173101,62.47473162,11.29607394,0.000408216,0.004611234,6.362365882,2.597217101,929.1511861,14.87243181,25.17339391
SPB,R2,11mts,L,2-5,POM,0.488259928,7.44786906,94.8215,-1.17119,0.598,942.4777961,17.29848364,97.43144624,0.844615637,0.004776483,0.004034293,0.475718709,2.272262529,82.29212304,12.88368411,0.00501034,0.064551642,7.256566539,36.3578681,1255.275976,15.25390194,16.00073391
SPB,R3,11mts,B,2-5,POM,0.661023269,8.905634657,2.26356,-16.61,0.598,942.4777961,11.04453765,62.20691353,0.730069638,,,0.411202174,,45.41537887,9.835861724,,,5.539920451,,611.8585998,13.47249798,#DIV/0!
SPB,R3,11mts,C,2-5,POM,0.577628709,8.887787213,7.71858,-15.5267,0.598,942.4777961,10.55555556,59.45278587,0.609719193,0.000307726,0.000187626,0.343416359,0.105678068,36.2495046,9.381553169,0.000350284,0.003286207,5.2840371,1.850913355,557.7594717,15.38667846,17.51464038
SPB,R3,11mts,L,2-5,POM,0.472986066,7.52884644,66.8202,-6.96033,0.598,942.4777961,10.84313725,61.07255217,0.512865284,0.00335354,0.001719914,0.288864662,0.968719086,31.32199179,8.163631532,0.003152384,0.025734903,4.59805867,14.49484727,498.5738126,15.91769183,14.96290047
SPB,R4,11mts,B,2-5,POM,0.609409883,8.43663326,1.69811,-16.56,0.598,942.4777961,20.51737757,115.5614452,1.250349267,,,0.704242868,,144.4921683,17.309759,,,9.749495323,,2000.340766,13.84393902,#DIV/0!
SPB,R4,11mts,C,2-5,POM,0.450820572,7.027140344,4.10649,-14.0218,0.598,942.4777961,9.976152623,56.18937464,0.449745483,0.000135856,6.11006E-05,0.25331326,0.034414116,25.27091742,7.010382458,0.00081787,0.005733585,3.948506215,3.229366496,393.9090063,15.58744385,93.83842605
SPB,R4,11mts,L,2-5,POM,0.225366622,3.8640008,56.9432,-7.82019,0.598,942.4777961,17.65056649,99.41450682,0.397784854,0.002869746,0.001141541,0.224047115,0.642958301,39.54558506,6.820180302,0.002853656,0.019462448,3.841377339,10.96196908,678.0248612,17.14539967,17.04926909
R20B,R1,11mts,B,2-5,SILT,0.21314122,2.362145588,-1.38025,-15.98,0.583,942.4777961,61.34387352,337.2311028,1.307490805,,,0.718778487,,440.9265662,14.49031602,,,7.965889615,,4886.58525,11.0825376,#DIV/0!
R20B,R1,11mts,C,2-5,SILT,0.240028041,2.723854528,7.49879,-10.7656,0.583,942.4777961,59.19745729,325.431419,1.420904972,0.000500777,0.000711556,0.781126661,0.391170189,462.4071213,16.12452621,0.001681816,0.027118486,8.864278443,14.9080853,5247.427445,11.34806798,38.11150678
R20B,R1,11mts,L,2-5,SILT,0.2035634,2.259395848,84.0963,-2.35991,0.583,942.4777961,59.60159363,327.6531134,1.213270302,0.004439431,0.00538623,0.666981817,2.961019743,397.531792,13.46635932,0.004448939,0.059911005,7.402980839,32.93540669,4412.294556,11.09922438,11.12299463
R20B,R2,11mts,B,2-5,SILT,0.274920036,3.129810226,-0.249518,-15.66,0.583,942.4777961,62.16910312,341.7677105,1.70915321,,,0.939587914,,584.1333794,19.45774947,,,10.69668075,,6650.030488,11.38443842,#DIV/0!
R20B,R2,11mts,C,2-5,SILT,0.400172334,4.480820749,9.3387,-10.1585,0.583,942.4777961,57.17665615,314.3222901,2.288051596,0.000540809,0.001237399,1.257830845,0.680246183,719.1856174,25.61983473,0.001775055,0.045476604,14.0842184,25.00025569,8052.885124,11.19722771,36.75177651
R20B,R2,11mts,L,2-5,SILT,0.21608916,2.347724264,66.8966,-3.9039,0.583,942.4777961,64.3384554,353.6934827,1.390284281,0.003487601,0.004848756,0.764293277,2.665549662,491.7344892,15.10489529,0.003840919,0.058016673,8.303747715,31.89401879,5342.50302,10.86460913,11.96526902
R20B,R3,11mts,B,2-5,SILT,0.178785193,1.941905888,-1.22363,-14.29,0.583,942.4777961,65.67813365,361.0582145,1.174227777,,,0.645518624,,423.9645845,12.75407544,,,7.011410725,,4604.963707,10.8616707,#DIV/0!
R20B,R3,11mts,C,2-5,SILT,0.247177198,2.657963987,6.97839,-10.1456,0.583,942.4777961,56.36867089,309.8804812,1.39330501,0.000462597,0.000644539,0.76595389,0.354328073,431.7580271,14.98258972,0.001336803,0.020028764,8.236511593,11.01058951,4642.812113,10.75327341,31.07456154
R20B,R3,11mts,L,2-5,SILT,0.265955978,2.937690879,65.6978,-5.88833,0.583,942.4777961,59.4352754,326.7387975,1.580716681,0.003475754,0.005494183,0.868981365,3.020365719,516.4814675,17.46024664,0.002745225,0.047932307,9.598575853,26.35025142,5704.939993,11.0457787,8.724192324
R20B,R4,11mts,B,2-5,SILT,0.196931233,2.334368053,-0.932441,-15.01,0.583,942.4777961,60.21653543,331.0336874,1.185851659,,,0.651908723,,392.5568474,14.05675566,,,7.727544645,,4653.259659,11.8537218,#DIV/0!
R20B,R4,11mts,C,2-5,SILT,0.268225608,2.941585673,6.49861,-11.7732,0.583,942.4777961,63.52337739,349.2126823,1.703859651,0.000419121,0.000714123,0.936677839,0.392581412,595.0093988,18.68594568,0.00104362,0.01950103,10.27239023,10.72047354,6525.369212,10.96683384,27.30764428
R20B,R4,11mts,L,2-5,SILT,0.255209088,3.141454129,60.5703,-5.62495,0.583,942.4777961,60.94215862,335.0227199,1.555299274,0.003194368,0.004968198,0.855008429,2.731211249,521.0605931,19.14469958,0.003065872,0.058695203,10.52458507,32.2670331,6413.909326,12.30933487,11.81418431
SPB,R1,11mts,B,2-5,SILT,0.237432528,2.921157085,2.37121,-15.96,0.598,942.4777961,76.20832511,429.2334222,1.809433527,,,1.019139765,,776.6693451,22.26164888,,,12.53858252,,9555.443733,12.30310401,#DIV/0!
