Watershed,REP,TIME,COVER,DEPTH,FRACTION,N_Pct,C_Pct,d15N,d13C,Bulk_Density_g_cm3,Volume_cm3,fraction %,g of soil in total section,mg_N_g_soil,N_F_Value,mg_Derived_N_g_Soil,Total_g_N,Total_derived_mg_N,Total_mg_N,mg_C_g_soil,C_F_Value,mg_Derived_C_g_soil,Total_g_C,Total_derived_mg_C,Total_mg_C,CN_Ratio,Derived_CN
R20B,R4,11mts,C,0-2,LF,1.637103599,35.33342124,4574.97,1357.06,0.436,628.3185307,5.308151093,14.5270782,0.868999326,0.258061557,0.22425532,0.23782332,61.37305637,12.62402116,18.75551386,0.442716075,8.303367488,5.132913732,2272.423423,272.4628164,21.58288654,37.02640144
R20B,R4,11mts,L,0-2,LF,1.364772476,30.80131559,121.123,51.3824,0.436,628.3185307,3.054343514,8.358972134,0.416848396,0.006308106,0.002629524,0.114080951,0.719634689,3.484424126,9.407779852,0.02171956,0.204332843,2.574673387,55.92077412,78.63936962,22.56882824,77.70716861
SPB,R1,11mts,B,0-2,LF,1.509792789,30.7374085,-0.495455,-18.89,0.335,628.3185307,7.756563246,16.34507106,1.171080326,,,0.246776704,,19.14139114,23.8416653,,,5.02405126,,389.6937135,20.3586934,#DIV/0!
SPB,R1,11mts,C,0-2,LF,1.489316246,31.36865586,2847.13,271.552,0.335,628.3185307,19.32974267,40.73273271,2.878809979,0.160613785,0.462376566,0.606639206,97.43461867,117.2617974,60.63480456,0.093594188,5.675065327,12.77731075,1195.88203,2469.821287,21.06245463,12.27368718
SPB,R1,11mts,L,0-2,LF,1.395592331,29.54632388,143.3,9.7297,0.335,628.3185307,22.69914155,47.83292158,3.167874787,0.007468707,0.02365993,0.667552585,4.985754885,151.5287063,67.06761879,0.0093393,0.626364645,14.13286993,131.991119,3208.04015,21.17117099,26.47364783
SPB,R2,11mts,B,0-2,LF,1.616172017,29.44456038,-0.475435,-19.30,0.335,628.3185307,13.55529132,28.56448053,2.190768251,,,0.461651141,,62.57815706,39.91295938,,,8.410685718,,1140.092951,18.21870449,#DIV/0!
SPB,R2,11mts,C,0-2,LF,1.416687702,31.72978463,3106.64,735.776,0.335,628.3185307,18.09466747,38.13011202,2.563449287,0.17524992,0.449244282,0.540184608,94.66730916,97.74460846,57.41399017,0.24329086,13.96829905,12.09860242,2943.47939,2189.201877,22.39716247,31.09288112
SPB,R2,11mts,L,0-2,LF,1.164783689,26.83417203,172.176,45.136,0.335,628.3185307,13.64356436,28.75049449,1.589180123,0.008967491,0.014250958,0.33488107,3.003042822,45.68971436,36.61137531,0.021026016,0.769791361,7.714957152,162.214812,1052.595144,23.03790161,54.01681616
SPB,R3,11mts,B,0-2,LF,1.563256643,29.08230786,-0.380639,-18.82,0.335,628.3185307,7.142857143,15.05183467,1.116611888,,,0.235298805,,16.80705752,20.77307704,,,4.377420895,,312.6729211,18.60366818,#DIV/0!
SPB,R3,11mts,C,0-2,LF,1.47984481,32.60912664,3636.86,973.652,0.335,628.3185307,16.12397018,33.97734667,2.38609736,0.205151547,0.489511565,0.502812001,103.15266,81.07325718,52.57885857,0.319830627,16.81632932,11.079716,3543.63252,1786.490105,22.03550427,34.35328301
SPB,R3,11mts,L,0-2,LF,1.112896594,25.71717561,131.96,51.7594,0.335,628.3185307,8.214001591,17.30901114,0.914133439,0.006873787,0.006283559,0.192631395,1.324107269,15.82274589,21.12409214,0.02303395,0.486571285,4.451388793,102.5330674,365.6371463,23.10832449,77.43562004
SPB,R4,11mts,B,0-2,LF,1.56045857,29.39038514,-0.700086,-18.79,0.335,628.3185307,14.37113813,30.28367931,2.242556566,,,0.472564269,,67.91286387,42.23732846,,,8.900489986,,1279.10171,18.83445399,#DIV/0!
SPB,R4,11mts,C,0-2,LF,1.414445502,32.5949658,3149.7,402.274,0.335,628.3185307,11.22184572,23.64731131,1.587268921,0.177689043,0.282040295,0.334478331,59.43313441,37.5346423,36.57756776,0.135692511,4.96330202,7.707833034,1045.89522,864.9611318,23.04434194,17.59784723
SPB,R4,11mts,L,0-2,LF,1.044035764,25.10993806,152.284,57.3699,0.335,628.3185307,5.613965483,11.83006724,0.586118074,0.007945879,0.004657223,0.123510133,0.981396514,6.933816228,14.09663255,0.024855769,0.350382646,2.970522555,73.83462321,166.7641109,24.0508409,75.23424236
R20B,R1,11mts,B,0-2,POM,0.575316531,8.897323987,1.27828,-13.99,0.436,628.3185307,7.3573275,20.13516006,0.423279214,,,0.115840904,,8.522794719,6.546052645,,,1.791490426,,131.8058178,15.46509357,#DIV/0!
R20B,R1,11mts,C,0-2,POM,0.510973881,8.013856802,66.5639,-5.35211,0.436,628.3185307,8.960784314,24.5234192,0.457872674,0.003682654,0.001686187,0.125308267,0.461467007,11.22860352,7.181044232,0.00278657,0.020010482,1.965271697,5.476367164,176.103758,15.68349596,11.86729947
R20B,R1,11mts,L,0-2,POM,0.487375097,7.937124039,309.058,24.9509,0.436,628.3185307,6.415620642,17.55794458,0.312681373,0.01598749,0.00499899,0.085573049,1.3680983,5.490042227,5.092157682,0.012727028,0.064808032,1.39359584,17.73633277,89.40782239,16.28545259,12.96422397
R20B,R2,11mts,B,0-2,POM,0.547625275,8.373329995,0.410971,-16.27,0.436,628.3185307,8.419175911,23.04117284,0.461055352,,,0.126179286,,10.62325606,7.049653819,,,1.929313437,,162.4322921,15.29025482,#DIV/0!
R20B,R2,11mts,C,0-2,POM,0.587126008,9.780658615,30.4976,16.0884,0.436,628.3185307,10.53459119,28.8305339,0.618513247,0.001697054,0.00104965,0.169271563,0.287262997,17.83206714,10.30352401,0.010435381,0.107521199,2.819816098,29.42585529,297.0560984,16.65853409,102.4352443
R20B,R2,11mts,L,0-2,POM,0.555535155,8.905272801,202.485,12.2806,0.436,628.3185307,8.827641302,24.15904017,0.490406508,0.010496179,0.005147395,0.134211961,1.408712773,11.84775053,7.861255398,0.009324335,0.073300977,2.151428433,20.06063885,189.9203849,16.03007967,14.24040389
R20B,R3,11mts,B,0-2,POM,0.485284873,7.36898031,0.579064,-14.70,0.436,628.3185307,8.318336333,22.76520021,0.403676279,,,0.110476073,,9.189771308,6.129765665,,,1.677563121,,139.5453426,15.18485476,#DIV/0!
R20B,R3,11mts,C,0-2,POM,0.548769452,9.420214713,32.7323,6.83441,0.436,628.3185307,8.970820189,24.55088487,0.492291208,0.001813639,0.000892839,0.134727756,0.244347577,12.08618477,8.450705234,0.006948986,0.058723829,2.312746069,16.07123924,207.4722913,17.16606979,65.77204266
R20B,R3,11mts,L,0-2,POM,0.242688935,4.340804674,281.463,20.7003,0.436,628.3185307,12.18637993,33.35106538,0.295749957,0.01458987,0.004314953,0.080939346,1.180894531,9.863576158,5.289869495,0.011568594,0.061196353,1.447704605,16.74790681,176.4227834,17.88628998,14.18239002
R20B,R4,11mts,B,0-2,POM,0.615313731,9.884825644,0.741252,-13.93,0.436,628.3185307,8.52,23.31710308,0.524247299,,,0.143473337,,12.22392831,8.421871449,,,2.304854985,,196.3736447,16.06469212,#DIV/0!
R20B,R4,11mts,C,0-2,POM,0.503279463,8.10523414,33.7581,-7.85918,0.436,628.3185307,8.389662028,22.96040074,0.42223446,0.00186237,0.000786357,0.115554982,0.215206075,9.69467241,6.800017509,0.001958481,0.013317708,1.86099424,3.644722633,156.1311271,16.10483784,16.93596537
R20B,R4,11mts,L,0-2,POM,0.427543691,7.102352015,230.627,17.3742,0.436,628.3185307,11.97937326,32.78454006,0.512170546,0.011940987,0.006115822,0.140168233,1.673747048,16.79127577,8.508172584,0.010231476,0.087051162,2.328473441,23.8237197,278.9365249,16.61199117,14.23376353
SPB,R1,11mts,B,0-2,POM,0.602301214,8.475589459,1.49597,-16.54,0.335,628.3185307,19.9681782,42.07808036,1.202685798,,,0.253436789,,50.60670966,16.92420807,,,3.566365344,,712.1381872,14.07201124,#DIV/0!
SPB,R1,11mts,C,0-2,POM,0.847320874,12.14706274,39.7726,-4.51498,0.335,628.3185307,10.51266707,22.15288972,0.890760225,0.002159148,0.001923283,0.187706059,0.405285175,19.73291303,12.76980264,0.003877024,0.049508834,2.690925413,10.43278287,282.8880297,14.33584739,25.74183197
SPB,R1,11mts,L,0-2,POM,0.802313479,11.45404956,393.547,36.9449,0.335,628.3185307,12.29786385,25.91475787,0.986674192,0.020365159,0.020093777,0.207917595,4.23427488,25.56942279,14.08603419,0.017466817,0.24603818,2.968289209,51.84656418,365.0361654,14.27627712,12.24449655
SPB,R2,11mts,B,0-2,POM,0.754824135,10.19118222,1.71775,-17.00,0.335,628.3185307,12.26714229,25.85001966,0.925953507,,,0.195122187,,23.93591637,12.50166825,,,2.634422609,,323.1683699,13.50139953,#DIV/0!
