Replicate,Harvest,Fauna Treatment,"Litter type (B, E, NL)",Soil depth (cm),Fraction,bulk density (g/cm3),volume (cm3),fraction %,g of soil in total section,Delta 13C,% Carbon,mgC/g soil,Carbon f value,litter derived C (mg/ g soil),g C in the soil in total section  ,mg litter-derived C in total section,Delta 15 N,% Nitrogen,mgN/g soil,Nitrogen f value,litter derived N (mg/ g soil),g N in the soil in total section  ,mg litter-derived N in total section,13C atom%,15 atom%
R4,H2,NF,E,10-May,BULK,1.112112849,1570.796327,100,1746.902778,-11.73745,4.383657385,43.83657385,0.001060259,0.040545082,66.80286198,70.82831664,19.9157,0.37007957,3.700795703,0.001774148,0.006156726,6.062177623,10.75520111,1.092803392,0.37357122
R1,H2,F,B,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-13.251395,3.311946728,33.11946728,,,,,1.88935,0.288930207,2.889302068,,,,,1.091147565,0.366992821
R1,H2,NF,B,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-13.251395,2.975961131,29.75961131,,,,,1.35625,0.263163097,2.631630969,,,,,1.091147565,0.366798263
R1,H2,F,E,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-11.31055,3.47,34.7,0.000912818,0.029771478,130.7994998,119.3961973,15.1555,0.26,2.6,0.001287125,0.003997287,12.45474329,16.03080704,1.093270289,0.371834153
R1,H2,NF,E,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-12.0076,3.545636915,35.45636915,0.000584982,0.01907912,130.7994998,76.51532872,13.369,0.315781962,3.157819616,0.001165455,0.003619431,12.45474329,14.51544851,1.092507928,0.371182217
R2,H2,F,B,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-13.251395,3.128849447,31.28849447,,,,,1.80776,0.270436741,2.704367406,,,,,1.091147565,0.366963044
R2,H2,NF,B,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-13.251395,3.053362476,30.53362476,,,,,1.96699,0.28474615,2.847461502,,,,,1.091147565,0.367021156
R2,H2,F,E,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-11.865,3.382266694,33.82266694,0.000652049,0.021266525,130.7994998,85.28774369,15.3855,0.296135003,2.961350032,0.001317346,0.004091141,12.45474329,16.40720231,1.09266389,0.371918085
R2,H2,NF,E,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-12.18055,3.344244275,33.44244275,0.00050364,0.016426164,130.7994998,65.87585349,12.367,0.288751338,2.887513379,0.00100905,0.0031337,12.45474329,12.56745999,1.092318772,0.37081656
R3,H2,F,B,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-13.251395,3.600942894,36.00942894,,,,,2.06592,0.314650969,3.14650969,,,,,1.091147565,0.367057262
R3,H2,NF,B,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-13.251395,3.815204316,38.15204316,,,,,1.39172,0.329399095,3.293990953,,,,,1.091147565,0.366811208
R3,H2,F,E,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-11.987,3.762154711,37.62154711,0.00059467,0.019395113,130.7994998,77.78259204,13.27,0.318314694,3.183146936,0.001087075,0.003376012,12.45474329,13.53923494,1.092530459,0.37114609
R3,H2,NF,E,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-11.98,3.65,36.5,0.000597963,0.019502489,130.7994998,78.21321549,13.46436667,0.3,3,0.001171271,0.003637491,12.45474329,14.58787406,1.092538115,0.371217019
R4,H2,F,B,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-13.251395,3.535035748,35.35035748,,,,,1.32923,0.299455104,2.994551038,,,,,1.091147565,0.366788401
R4,H2,NF,B,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-13.251395,3.105947817,31.05947817,,,,,1.73343,0.266552067,2.665520673,,,,,1.091147565,0.366935917
R4,H2,F,E,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-12.44,3.372152614,33.72152614,0.000381615,0.012446346,130.7994998,49.91510269,10.926145,0.296049812,2.960498125,0.000931073,0.002891535,12.45474329,11.59627565,1.092035008,0.370290749
R4,H2,NF,E,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-12.3751,3.7577051,37.577051,0.000412139,0.013441876,130.7994998,53.9075973,13.69115,0.32131301,3.213130099,0.001160159,0.003602983,12.45474329,14.44948249,1.09210599,0.371299778
R1,H2,F,B,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,-15.2866425,4.729974143,6.985524692,,,,,1.5196,0.573664261,0.84722363,,,,,1.088921493,0.366857878
R1,H2,NF,B,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,-15.2866425,4.623983205,6.828990578,,,,,3.59686,0.616373504,0.910299339,,,,,1.088921493,0.367615984
R1,H2,F,E,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,24.3296,5.944494005,8.779204367,0.018614498,0.117461671,2.782353533,51.79211378,191.247,0.531956049,0.785626307,0.018407304,0.01113207,0.266657146,4.908439069,1.132234142,0.436052217
R1,H2,NF,E,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,10.4727,5.971092562,8.818486797,0.012103551,0.076376134,2.782353533,33.67635882,230.897,0.578921541,0.854987913,0.022057047,0.013339303,0.266657146,5.881669087,1.117088634,0.45050059
R2,H2,F,B,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,-15.2866425,4.597400523,6.789731594,,,,,4.36518,0.599841505,0.885883838,,,,,1.088921493,0.367896383
R2,H2,NF,B,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,-15.2866425,5.807734896,8.577229873,,,,,2.89554,0.721635261,1.065756552,,,,,1.088921493,0.367360035
R2,H2,F,E,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,25.1867,6.504780671,9.606671118,0.019017224,0.120002962,2.782353533,52.91263955,233.289,0.624480236,0.922271873,0.022216264,0.013435591,0.266657146,5.924125479,1.133170795,0.451372095
R2,H2,NF,E,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,0.527187,6.006440339,8.870690628,0.00743045,0.04688781,2.782353533,20.67413781,138.395,0.549968104,0.812227647,0.013147878,0.00795136,0.266657146,3.505975628,1.106215387,0.416786541
R3,H2,F,B,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,-15.2866425,4.646218812,6.861829526,,,,,2.63315,0.671347909,0.991489013,,,,,1.088921493,0.367264275
R3,H2,NF,B,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,-15.2866425,5.469309742,8.077422222,,,,,2.33042,0.755298228,1.115472148,,,,,1.088921493,0.367153792
R3,H2,F,E,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,8.97008,6.406554458,9.461604441,0.011397515,0.071920884,2.782353533,31.71191543,126.177,0.62872095,0.928534826,0.011987488,0.007249598,0.266657146,3.196549266,1.115446,0.41233176
R3,H2,NF,E,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,8.69004,5.943739775,8.778090473,0.011265932,0.071090569,2.782353533,31.34580641,189.587,0.576576673,0.851524863,0.018169015,0.010987962,0.266657146,4.844897591,1.11513986,0.435447225
R4,H2,F,B,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,-15.2866425,5.273158599,7.78773382,,,,,1.97749,0.761282956,1.124310774,,,,,1.088921493,0.367024988
R4,H2,NF,B,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,-15.2866425,4.960678664,7.326243706,,,,,3.60914,0.800742476,1.182587086,,,,,1.088921493,0.367620466
R4,H2,F,E,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,24.0901,5.619593425,8.299370661,0.018501964,0.116751557,2.782353533,51.47900455,213.184,0.536175143,0.79185733,0.020492112,0.012392887,0.266657146,5.464368045,1.131972409,0.44404653
R4,H2,NF,E,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,4.74676,5.764075374,8.512750733,0.009413102,0.059398792,2.782353533,26.19057731,217.688,0.588317409,0.868864325,0.020774088,0.012563416,0.266657146,5.5395589,1.110828861,0.445687725
R1,H2,F,B,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-14.3398075,4.175925926,6.202255442,,,,,2.25659,0.73423362,1.090513707,,,,,1.089957116,0.367126848
R1,H2,NF,B,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-14.3398075,4.133239672,6.138856077,,,,,1.51829,0.695445838,1.032904512,,,,,1.089957116,0.3668574
R1,H2,F,E,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-4.07268,4.993397262,7.416397199,0.004826366,0.03058551,5.510822101,26.59724452,58.7264,0.442738335,0.657573026,0.005479078,0.003438547,0.545743286,2.990170171,1.101185628,0.387731552
R1,H2,NF,E,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-9.52981,5.6530434,8.396130538,0.002261081,0.014328859,5.510822101,12.46041599,50.3452,0.472344659,0.701545545,0.004737174,0.002972944,0.545743286,2.585280734,1.095217825,0.384673958
R2,H2,F,B,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-14.3398075,4.14198158,6.151839915,,,,,2.13616,0.797181114,1.184005892,,,,,1.089957116,0.367082896
R2,H2,NF,B,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-14.3398075,6.323236098,9.391528057,,,,,3.86668,1.004049632,1.49125545,,,,,1.089957116,0.367714455
R2,H2,F,E,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-4.89086,5.353348124,7.951010896,0.004441756,0.028148173,5.510822101,24.47772925,60.9907,0.467541012,0.694410973,0.005710394,0.003583716,0.545743286,3.116409168,1.10029093,0.388557572
R2,H2,NF,E,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-11.0977,5.341276175,7.933081145,0.001524048,0.009658155,5.510822101,8.398758653,26.7378,0.447727027,0.664982434,0.002219456,0.001392881,0.545743286,1.211252991,1.09350308,0.376060598
R3,H2,F,B,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-14.3398075,6.188476013,9.191376886,,,,,2.73104,1.056642144,1.569367992,,,,,1.089957116,0.3673
R3,H2,NF,B,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-14.3398075,4.206404572,6.24752357,,,,,1.20302,0.861712207,1.279850103,,,,,1.089957116,0.36674234
R3,H2,F,E,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-9.59601,5.291708458,7.85946115,0.002229962,0.014131651,5.510822101,12.28892327,28.7007,0.47206892,0.701136007,0.002519866,0.001581412,0.545743286,1.375199909,1.095145426,0.376776836
R3,H2,NF,E,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-6.99921,5.621280582,8.348955106,0.003450664,0.021867452,5.510822101,19.01599709,63.1593,0.490700267,0.728808044,0.006010798,0.003772242,0.545743286,3.280352533,1.097985326,0.389348667
R4,H2,F,B,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-14.3398075,3.731291429,5.541866159,,,,,2.40716,0.846570829,1.257361511,,,,,1.089957116,0.367181799
R4,H2,NF,B,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-14.3398075,4.244088904,6.303493875,,,,,2.44999,0.920382293,1.366989307,,,,,1.089957116,0.36719743
R4,H2,F,E,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-4.922,4.69,6.965779216,0.004427118,0.028055408,5.510822101,24.39706032,61.431,0.52,0.772325201,0.005726971,0.003594119,0.545743286,3.12545596,1.100256877,0.388718192
R4,H2,NF,E,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-9.11041,5.493617002,8.159343952,0.002458232,0.015578241,5.510822101,13.54688193,52.5435,0.471311416,0.700010931,0.004860498,0.00305034,0.545743286,2.652584278,1.095676498,0.385475951
R1,H2,F,B,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,-18.446565,28.64587111,12.78326715,,,,,-1.37436,1.42239953,0.634748132,,,,,1.085465099,0.365801695
R1,H2,NF,B,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,-18.446565,27.28839793,12.17749251,,,,,-1.43057,1.440495145,0.64282333,,,,,1.085465099,0.36578118
R1,H2,F,E,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,89.1606,32.45873123,14.48476226,0.050486457,0.617095463,5.3894559,272.0945313,630.718,1.431240663,0.638693502,0.061308225,0.037354185,0.268650703,16.4704978,1.203032447,0.59596049
R1,H2,NF,E,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,11.2652,29.16113251,13.0132034,0.01393998,0.170388239,5.3894559,75.12890774,234.548,1.547897652,0.690751876,0.022888029,0.013945334,0.268650703,6.148885153,1.117954956,0.451830795
R2,H2,F,B,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,-18.446565,27.23284996,12.15270414,,,,,-1.66092,1.415825854,0.631814619,,,,,1.085465099,0.36569711
R2,H2,NF,B,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,-18.446565,23.62082968,10.54083414,,,,,-2.26197,1.253395985,0.559330022,,,,,1.085465099,0.365477747
R2,H2,F,E,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,112.129,28.95867809,12.92285778,0.061262627,0.748812486,5.3894559,330.1722256,678.879,1.503597431,0.670982829,0.066005441,0.040216128,0.268650703,17.73240816,1.228090632,0.613453386
R2,H2,NF,E,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,1.2512,30.87978275,13.7801539,0.009241674,0.112960893,5.3894559,49.80759539,228.734,1.411769387,0.630004414,0.02240295,0.013649783,0.268650703,6.018568391,1.107007018,0.449712506
R3,H2,F,B,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,-18.446565,27.25893557,12.16434488,,,,,-1.72318,1.471374856,0.656603452,,,,,1.085465099,0.365674388
R3,H2,NF,B,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,-18.446565,28.68726943,12.80174122,,,,,-1.53834,1.646075329,0.734563826,,,,,1.085465099,0.365741848
R3,H2,F,E,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,-0.527869,27.96072116,12.47751786,0.008406982,0.102758455,5.3894559,45.30905716,401.288,1.47615417,0.658736229,0.039087744,0.023815578,0.268650703,10.50094987,1.105061773,0.512542996
R3,H2,NF,E,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,28.5842,29.45259144,13.14326743,0.0220656,0.269707614,5.3894559,118.9215789,437.538,1.610296887,0.718597637,0.042586439,0.025947281,0.268650703,11.44087689,1.136883463,0.525732294
R4,H2,F,B,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,-18.446565,27.82679263,12.41775203,,,,,-1.59515,1.638568525,0.731213902,,,,,1.085465099,0.365721114
R4,H2,NF,B,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,-18.446565,24.74241072,11.04134152,,,,,-1.17867,1.351680228,0.603189527,,,,,1.085465099,0.365873115
R4,H2,F,E,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,122.183,27.7,12.36117061,0.0659797,0.806469221,5.3894559,355.5946816,677.594,1.35,0.602439723,0.06587485,0.040136562,0.268650703,17.69732487,1.239055398,0.612986732
R4,H2,NF,E,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,-1.9274,28.67008519,12.79407272,0.007750359,0.094732556,5.3894559,41.77021538,249.379,1.476848244,0.659045961,0.024302679,0.014807259,0.268650703,6.528931756,1.103531464,0.457233957
R1,H2,F,B,5-Feb,LF,0.922677204,942.4777961,2.735983694,23.7921902,-17.657785,28.19756915,7.714808942,,,,,-1.51323,1.37398466,0.375919962,,,,,1.086327907,0.365751012
R1,H2,NF,B,5-Feb,LF,0.922677204,942.4777961,2.735983694,23.7921902,-17.657785,27.85987936,7.622417565,,,,,-2.16703,1.396009689,0.381945975,,,,,1.086327907,0.365512397
R1,H2,F,E,5-Feb,LF,0.922677204,942.4777961,2.735983694,23.7921902,20.9184,28.57832548,7.818983253,0.018105634,0.125354674,6.020710205,109.0087731,208.691,1.313983623,0.359503777,0.020387961,0.006634554,0.28298204,5.769426919,1.128506151,0.442409289
R1,H2,NF,E,5-Feb,LF,0.922677204,942.4777961,2.735983694,23.7921902,-6.84114,28.45263757,7.784595244,0.005076765,0.03514907,6.020710205,30.56572859,295.468,1.181896379,0.323364922,0.02886615,0.009393486,0.28298204,8.168601886,1.098158188,0.474021148
R2,H2,F,B,5-Feb,LF,0.922677204,942.4777961,2.735983694,23.7921902,-17.657785,26.14850603,7.154188612,,,,,-2.0068,1.330017561,0.363890636,,,,,1.086327907,0.365570876
R2,H2,NF,B,5-Feb,LF,0.922677204,942.4777961,2.735983694,23.7921902,-17.657785,27.92078971,7.639082536,,,,,-2.00041,1.360311621,0.372179041,,,,,1.086327907,0.365573208
R2,H2,F,E,5-Feb,LF,0.922677204,942.4777961,2.735983694,23.7921902,39.6597,30.8920057,8.452002387,0.026901815,0.18625519,6.020710205,161.9680307,244.305,1.43821593,0.393493533,0.023888935,0.007773825,0.28298204,6.760139427,1.148984444,0.455385487
R2,H2,NF,E,5-Feb,LF,0.922677204,942.4777961,2.735983694,23.7921902,-11.5285,30.37038927,8.309288983,0.002876764,0.019917328,6.020710205,17.32016367,91.7519,1.197651298,0.327675442,0.00909272,0.00295891,0.28298204,2.573076401,1.09303192,0.399777947
R3,H2,F,B,5-Feb,LF,0.922677204,942.4777961,2.735983694,23.7921902,-17.657785,22.45992982,6.145000176,,,,,-2.3124,1.326603748,0.362956622,,,,,1.086327907,0.365459342
R3,H2,NF,B,5-Feb,LF,0.922677204,942.4777961,2.735983694,23.7921902,-17.657785,27.95768161,7.649176101,,,,,-2.10532,1.551203363,0.424406711,,,,,1.086327907,0.365534919
R3,H2,F,E,5-Feb,LF,0.922677204,942.4777961,2.735983694,23.7921902,-5.43325,25.16213167,6.884318196,0.005737554,0.039724058,6.020710205,34.54415107,114.392,1.135079074,0.310555784,0.011318423,0.003683188,0.28298204,3.202910429,1.099697805,0.408034476
R3,H2,NF,E,5-Feb,LF,0.922677204,942.4777961,2.735983694,23.7921902,0.154356,26.89053379,7.357206198,0.008360083,0.057881181,6.020710205,50.33363555,244.248,1.352343026,0.369998847,0.023892733,0.007775061,0.28298204,6.761214358,1.105807731,0.455364721
R4,H2,F,B,5-Feb,LF,0.922677204,942.4777961,2.735983694,23.7921902,-17.657785,24.79410348,6.783626284,,,,,-1.97759,1.474826458,0.403510114,,,,,1.086327907,0.365581537
R4,H2,NF,B,5-Feb,LF,0.922677204,942.4777961,2.735983694,23.7921902,-17.657785,26.14768636,7.153964351,,,,,-1.80258,1.510379767,0.413237441,,,,,1.086327907,0.365645409
R4,H2,F,E,5-Feb,LF,0.922677204,942.4777961,2.735983694,23.7921902,12.2872,28.98595355,7.930509628,0.014054602,0.097307285,6.020710205,84.61868574,357.014,1.256258973,0.343710407,0.034817459,0.011330133,0.28298204,9.852715447,1.119072135,0.49642948
R4,H2,NF,E,5-Feb,LF,0.922677204,942.4777961,2.735983694,23.7921902,-4.28042,27.2774192,7.463057416,0.006278632,0.04347022,6.020710205,37.80182374,160.378,1.200034383,0.32832745,0.015729648,0.005118668,0.28298204,4.451207976,1.100958461,0.424800717
R1,H2,F,B,0-2,POM,0.701758354,628.3185307,10.14132866,44.71593511,-16.3530325,6.30606578,6.395188563,,,,,-1.1041,0.552337433,0.560143544,,,,,1.087755079,0.36590033
R1,H2,NF,B,0-2,POM,0.701758354,628.3185307,10.14132866,44.71593511,-16.3530325,7.577881233,7.684978413,,,,,-0.94943,0.688846652,0.69858203,,,,,1.087755079,0.365956779
R1,H2,F,E,0-2,POM,0.701758354,628.3185307,10.14132866,44.71593511,36.683,4.31,4.370912652,0.024907579,0.160894111,2.848236789,70.94268274,276.952,0.24,0.243391888,0.026970066,0.010870989,0.177727453,4.793321179,1.145732422,0.467277668
R1,H2,NF,E,0-2,POM,0.701758354,628.3185307,10.14132866,44.71593511,0.672064,5.555484257,5.633999171,0.007995582,0.051648618,2.848236789,22.7733102,199.493,0.311127486,0.315524609,0.019442216,0.007836693,0.177727453,3.455415504,1.106373796,0.439057386
R2,H2,F,B,0-2,POM,0.701758354,628.3185307,10.14132866,44.71593511,-16.3530325,4.837492365,4.905859996,,,,,-1.31016,0.501812323,0.50890437,,,,,1.087755079,0.365825126
R2,H2,NF,B,0-2,POM,0.701758354,628.3185307,10.14132866,44.71593511,-16.3530325,6.99,7.088788733,,,,,-0.438,0.4,0.405653146,,,,,1.087755079,0.366143433
R2,H2,F,E,0-2,POM,0.701758354,628.3185307,10.14132866,44.71593511,22.3691,4.878221614,4.947164866,0.01818527,0.117470384,2.848236789,51.79595516,251.232,0.280796659,0.284765121,0.024494851,0.009873289,0.177727453,4.353407425,1.130091609,0.457908993
R2,H2,NF,E,0-2,POM,0.701758354,628.3185307,10.14132866,44.71593511,-4.41548,5.751339573,5.832622485,0.005606293,0.03621466,2.848236789,15.96804964,177.946,0.302753481,0.307032256,0.017303484,0.006974621,0.177727453,3.075304056,1.100810771,0.431204422
R3,H2,F,B,0-2,POM,0.701758354,628.3185307,10.14132866,44.71593511,-16.3530325,7.247599686,7.350029042,,,,,-1.88238,0.609424564,0.61803748,,,,,1.087755079,0.365616285
R3,H2,NF,B,0-2,POM,0.701758354,628.3185307,10.14132866,44.71593511,-16.3530325,5.971948288,6.056349033,,,,,-1.44255,0.424854024,0.430858429,,,,,1.087755079,0.365776808
R3,H2,F,E,0-2,POM,0.701758354,628.3185307,10.14132866,44.71593511,7.95474,6.962460359,7.060859879,0.011415782,0.073741893,2.848236789,32.51484908,135.751,0.416595536,0.422483225,0.013348749,0.005380562,0.177727453,2.37243922,1.11433602,0.415822551
R3,H2,NF,E,0-2,POM,0.701758354,628.3185307,10.14132866,44.71593511,4.60261,4.048881815,4.10610412,0.009841504,0.063572619,2.848236789,28.03093345,160.849,0.245359644,0.248827279,0.015740961,0.006344805,0.177727453,2.79760087,1.110671261,0.424972412
R4,H2,F,B,0-2,POM,0.701758354,628.3185307,10.14132866,44.71593511,-16.3530325,5.117150678,5.189470683,,,,,-1.25201,0.490852671,0.497789826,,,,,1.087755079,0.365846348
R4,H2,NF,B,0-2,POM,0.701758354,628.3185307,10.14132866,44.71593511,-16.3530325,10.31,10.45570985,,,,,0.467,0.61,0.618621048,,,,,1.087755079,0.366473723
R4,H2,F,E,0-2,POM,0.701758354,628.3185307,10.14132866,44.71593511,16.2834,4.674406148,4.740468904,0.015327212,0.099008345,2.848236789,43.65552941,264.178,0.24513647,0.248600951,0.025745029,0.010377206,0.177727453,4.575598362,1.123440259,0.462624877
R4,H2,NF,E,0-2,POM,0.701758354,628.3185307,10.14132866,44.71593511,-3.37855,6.204366154,6.29205163,0.006093272,0.039360369,2.848236789,17.35508017,190.043,0.349174378,0.354109212,0.018390737,0.007412867,0.177727453,3.268538804,1.101944663,0.435613416
R1,H2,F,B,5-Feb,POM,0.922677204,942.4777961,9.108413466,79.20701651,-15.7605525,3.140953241,2.86091008,,,,,-1.66917,0.358235245,0.326295473,,,,,1.088403135,0.365694099
R1,H2,NF,B,5-Feb,POM,0.922677204,942.4777961,9.108413466,79.20701651,-15.7605525,5.620894734,5.119743329,,,,,-1.27831,0.556558492,0.506936486,,,,,1.088403135,0.36583675
R1,H2,F,E,5-Feb,POM,0.922677204,942.4777961,9.108413466,79.20701651,0.0497113,6.965871679,6.34480394,0.00742712,0.037046884,4.337626326,32.21607289,108.647,0.378621014,0.344863674,0.010699536,0.00325909,0.26488191,2.834113634,1.105693311,0.405939484
R1,H2,NF,E,5-Feb,POM,0.922677204,942.4777961,9.108413466,79.20701651,-12.0505,2.872390179,2.616291739,0.001742856,0.008693459,4.337626326,7.559856259,60.6693,0.167115144,0.152215383,0.00600851,0.001830198,0.26488191,1.591545663,1.092461008,0.388440325
R2,H2,F,B,5-Feb,POM,0.922677204,942.4777961,9.108413466,79.20701651,-15.7605525,5.777492833,5.262379352,,,,,-0.46222,0.525973033,0.479077985,,,,,1.088403135,0.366134593
R2,H2,NF,B,5-Feb,POM,0.922677204,942.4777961,9.108413466,79.20701651,-15.7605525,3.801966436,3.462988228,,,,,-2.73756,0.348090059,0.317054818,,,,,1.088403135,0.365304172
R2,H2,F,E,5-Feb,POM,0.922677204,942.4777961,9.108413466,79.20701651,-0.930715,2.115368979,1.92676553,0.00696655,0.034749532,4.337626326,30.21828932,115.679,0.119127889,0.108506607,0.011265825,0.003431582,0.26488191,2.984113311,1.104621289,0.408503786
R2,H2,NF,E,5-Feb,POM,0.922677204,942.4777961,9.108413466,79.20701651,-12.0143,4.025322004,3.666429714,0.001759861,0.008778284,4.337626326,7.633619851,44.6388,0.240674763,0.219216525,0.004594545,0.001399503,0.26488191,1.217011756,1.0925006,0.382592066
R3,H2,F,B,5-Feb,POM,0.922677204,942.4777961,9.108413466,79.20701651,-15.7605525,7.430286996,6.767812613,,,,,-1.07665,0.649796685,0.591861688,,,,,1.088403135,0.365910349
R3,H2,NF,B,5-Feb,POM,0.922677204,942.4777961,9.108413466,79.20701651,-15.7605525,7.060966325,6.431420076,,,,,-0.536149,0.668735357,0.609111813,,,,,1.088403135,0.366107612
R3,H2,F,E,5-Feb,POM,0.922677204,942.4777961,9.108413466,79.20701651,-10.771,4.223971447,3.847367841,0.002343921,0.011691606,4.337626326,10.16705281,44.9917,0.267820192,0.243941704,0.004468414,0.001361084,0.26488191,1.183602028,1.093860385,0.382720819
R3,H2,NF,E,5-Feb,POM,0.922677204,942.4777961,9.108413466,79.20701651,-4.9206,4.778774429,4.352705336,0.005092238,0.025400364,4.337626326,22.08822726,70.1248,0.318870575,0.290440504,0.00685414,0.002087778,0.26488191,1.815537725,1.100258408,0.391889566
R4,H2,F,B,5-Feb,POM,0.922677204,942.4777961,9.108413466,79.20701651,-15.7605525,6.201631456,5.648702346,,,,,-1.67602,0.532288585,0.484830452,,,,,1.088403135,0.365691599
R4,H2,NF,B,5-Feb,POM,0.922677204,942.4777961,9.108413466,79.20701651,-15.7605525,5.01,4.563315146,,,,,-0.853,0.28,0.255035577,,,,,1.088403135,0.365991973
R4,H2,F,E,5-Feb,POM,0.922677204,942.4777961,9.108413466,79.20701651,-1.19537,3.705602496,3.375215968,0.006842224,0.034129388,4.337626326,29.67901023,118.447,0.195721997,0.178271687,0.011650692,0.003548813,0.26488191,3.08605767,1.104331904,0.409513134
R4,H2,NF,E,5-Feb,POM,0.922677204,942.4777961,9.108413466,79.20701651,-10.6875,6.101507823,5.557505602,0.002383146,0.011887264,4.337626326,10.33719811,67.2574,0.345266033,0.314482579,0.006606533,0.002012357,0.26488191,1.749951027,1.093951707,0.390843602
R1,H2,F,B,0-2,SILT,0.701758354,628.3185307,70.627523,311.4163676,-15.28498,3.646577435,25.75487317,,,,,0.00268489,0.402555689,2.843151121,,,,,1.088923312,0.366304266
R1,H2,NF,B,0-2,SILT,0.701758354,628.3185307,70.627523,311.4163676,-15.28498,2.77981478,19.63314323,,,,,-1.79661,0.282221901,1.993263378,,,,,1.088923312,0.365647588
R1,H2,F,E,0-2,SILT,0.701758354,628.3185307,70.627523,311.4163676,23.2869,2.370280806,16.74070621,0.018123797,0.34369586,8.361661289,151.5450518,192.878,0.172423802,1.217786604,0.01870996,0.030249771,0.712880426,13.33796431,1.131094638,0.436646632
R1,H2,NF,E,0-2,SILT,0.701758354,628.3185307,70.627523,311.4163676,8.63115,2.39895935,16.94325567,0.011237489,0.213105373,8.361661289,93.96407851,195.814,0.186589342,1.317834304,0.019165964,0.030987027,0.712880426,13.6630408,1.115075481,0.437716635
