Replicate,Harvest,Fauna Treatment,"Litter type (B, E, NL)",Soil depth (cm),Fraction,bulk density (g/cm3),volume (cm3),fraction %,g of soil in total section,Delta 13C,% Carbon,mgC/g soil,Carbon f value,litter derived C (mg/ g soil),g C in the soil in total section  ,mg litter-derived C in total section,Delta 15 N,% Nitrogen,mgN/g soil,Nitrogen f value,litter derived N (mg/ g soil),g N in the soil in total section  ,mg litter-derived N in total section,13C atom%,15 atom%
R3,H1,F,E,5-Feb,BULK,0.922677204,942.4777961,100,869.6027778,-8.81014,4.405595806,44.05595806,0.002866112,0.126732772,38.45180452,110.2071703,41.55,0.349696383,3.496963829,0.003852509,0.010474126,2.364258914,9.108328662,1.096004882,0.381465129
R3,H1,NF,E,5-Feb,BULK,0.922677204,942.4777961,100,869.6027778,-10.5224,4.528971447,45.28971447,0.002061429,0.091151566,38.45180452,79.2656549,37.7604,0.362107329,3.621073287,0.003552458,0.009658352,2.364258914,8.398929925,1.094132272,0.380082472
R4,H1,F,B,5-Feb,BULK,0.922677204,942.4777961,100,869.6027778,-14.90885,5.039140134,50.39140134,,,,,2.31359,0.342473563,3.424735628,,,,,1.089334715,0.36714765
R4,H1,NF,B,5-Feb,BULK,0.922677204,942.4777961,100,869.6027778,-14.90885,4.508418071,45.08418071,,,,,1.70805,0.352827062,3.528270615,,,,,1.089334715,0.366926655
R4,H1,F,E,5-Feb,BULK,0.922677204,942.4777961,100,869.6027778,-5.06276,3.994443288,39.94443288,0.004627207,0.204604298,38.45180452,177.9244656,50.7744,0.332428669,3.32428669,0.004702018,0.012783753,2.364258914,11.11678696,1.100102951,0.384830542
R4,H1,NF,E,5-Feb,BULK,0.922677204,942.4777961,100,869.6027778,-8.99342,4.564030192,45.64030192,0.002779979,0.122924166,38.45180452,106.8951961,39.4088,0.368659015,3.686590154,0.003657784,0.009944711,2.364258914,8.647948371,1.095804442,0.380683905
R1,H1,F,B,10-May,BULK,1.112112849,1570.796327,100,1746.902778,-13.99257,3.456023512,34.56023512,,,,,2.62151,0.275942186,2.759421864,,,,,1.090336909,0.367260027
R1,H1,NF,B,10-May,BULK,1.112112849,1570.796327,100,1746.902778,-13.99257,3.382485933,33.82485933,,,,,3.60716,0.284630555,2.846305548,,,,,1.090336909,0.367619743
R1,H1,F,E,10-May,BULK,1.112112849,1570.796327,100,1746.902778,-12.8102,3.390379321,33.90379321,0.000555899,0.021257977,66.80286198,37.13561883,16.5675,0.266093368,2.660933675,0.001353181,0.004695867,6.062177623,8.203223815,1.091630113,0.372349419
R1,H1,NF,E,10-May,BULK,1.112112849,1570.796327,100,1746.902778,-13.1522,3.659945125,36.59945125,0.000395105,0.015109116,66.80286198,26.3941575,21.3027,0.302488068,3.024880677,0.001717165,0.005958979,6.062177623,10.40975645,1.091256058,0.374077345
R2,H1,F,B,10-May,BULK,1.112112849,1570.796327,100,1746.902778,-13.99257,3.831469903,38.31469903,,,,,2.91416,0.304217353,3.042173526,,,,,1.090336909,0.367366831
R2,H1,NF,B,10-May,BULK,1.112112849,1570.796327,100,1746.902778,-13.99257,3.285264112,32.85264112,,,,,2.92411,0.271630067,2.716300668,,,,,1.090336909,0.367370462
R2,H1,F,E,10-May,BULK,1.112112849,1570.796327,100,1746.902778,-12.7928,3.613120312,36.13120312,0.000564079,0.021570814,66.80286198,37.68211423,17.8646,0.278871425,2.788714252,0.001450684,0.005034227,6.062177623,8.794304891,1.091649144,0.372822751
R2,H1,NF,E,10-May,BULK,1.112112849,1570.796327,100,1746.902778,-9.15919,3.631191557,36.31191557,0.002272444,0.086899938,66.80286198,151.8057438,21.3829,0.288806545,2.888065446,0.001791111,0.006215591,6.062177623,10.85803387,1.09562315,0.37410661
R3,H1,F,B,10-May,BULK,1.112112849,1570.796327,100,1746.902778,-13.99257,3.934636411,39.34636411,,,,,2.6807,0.301353607,3.013536071,,,,,1.090336909,0.367281629
R3,H1,NF,B,10-May,BULK,1.112112849,1570.796327,100,1746.902778,-13.99257,3.770514009,37.70514009,,,,,1.77337,0.287054462,2.870544621,,,,,1.090336909,0.366950494
R3,H1,F,E,10-May,BULK,1.112112849,1570.796327,100,1746.902778,-11.7801,3.555581691,35.55581691,0.001040207,0.039778273,66.80286198,69.48877475,22.3082,0.292992524,2.929925244,0.00190447,0.006608973,6.062177623,11.54523273,1.092756746,0.374444255
R3,H1,NF,E,10-May,BULK,1.112112849,1570.796327,100,1746.902778,-13.5964,3.829513759,38.29513759,0.000186262,0.00712279,66.80286198,12.44282087,15.5017,0.324504991,3.245049908,0.001331952,0.004622197,6.062177623,8.074528704,1.090770219,0.371960488
R4,H1,F,B,10-May,BULK,1.112112849,1570.796327,100,1746.902778,-13.99257,3.780555815,37.80555815,,,,,3.25603,0.304381921,3.043819211,,,,,1.090336909,0.367491597
R4,H1,NF,B,10-May,BULK,1.112112849,1570.796327,100,1746.902778,-13.99257,3.984314561,39.84314561,,,,,1.90817,0.3139999,3.139998998,,,,,1.090336909,0.36699969
R4,H1,F,E,10-May,BULK,1.112112849,1570.796327,100,1746.902778,-10.8332,3.634348307,36.34348307,0.001485397,0.056802705,66.80286198,99.22880323,28.0674,0.316231301,3.162313007,0.002407598,0.008354952,6.062177623,14.5952889,1.093792359,0.376545753
R4,H1,NF,E,10-May,BULK,1.112112849,1570.796327,100,1746.902778,-12.5753,4.042878018,40.42878018,0.000666338,0.025481273,66.80286198,44.51330675,14.8723,0.325346598,3.253465983,0.001257824,0.004364955,6.062177623,7.625152432,1.091887028,0.371730807
R1,H1,F,B,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-13.251395,2.899469693,28.99469693,,,,,4.25936,0.228858569,2.288585689,,,,,1.091147565,0.367857764
R1,H1,NF,B,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-13.251395,3.31591792,33.1591792,,,,,3.14238,0.266217004,2.662170042,,,,,1.091147565,0.367450121
R1,H1,F,E,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-10.0381,3.289401696,32.89401696,0.001511277,0.04929015,130.7994998,197.6743139,19.4735,0.290773539,2.907735389,0.001476464,0.004585299,12.45474329,18.38898536,1.094661933,0.373409857
R1,H1,NF,E,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-12.0869,3.174971575,31.74971575,0.000547685,0.017862703,130.7994998,71.63698015,13.8795,0.265986977,2.659869769,0.001041877,0.003235646,12.45474329,12.9763064,1.092421197,0.371368512
R2,H1,F,B,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-13.251395,3.352733428,33.52733428,,,,,3.01671,0.267565813,2.675658127,,,,,1.091147565,0.367404257
R2,H1,NF,B,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-13.251395,3.22651167,32.2651167,,,,,2.93717,0.257786705,2.577867052,,,,,1.091147565,0.367375228
R2,H1,F,E,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-10.4831,3.220816472,32.20816472,0.001301985,0.042464099,130.7994998,170.2989656,20.4107,0.275967747,2.759677468,0.001687806,0.005241639,12.45474329,21.02118551,1.094175253,0.373751849
R2,H1,NF,E,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-12.3804,2.870205011,28.70205011,0.000409646,0.013360577,130.7994998,53.58155383,12.0341,0.248727353,2.487273525,0.000882703,0.002741318,12.45474329,10.99384197,1.092100193,0.370695076
R3,H1,F,B,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-13.251395,3.385973971,33.85973971,,,,,3.08374,0.280097353,2.800973529,,,,,1.091147565,0.36742872
R3,H1,NF,B,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-13.251395,2.977616117,29.77616117,,,,,3.42446,0.273839872,2.738398725,,,,,1.091147565,0.367553066
R3,H1,F,E,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-11.859,3.004448454,30.04448454,0.000654871,0.021358561,130.7994998,85.65684951,12.187,0.265105345,2.651053448,0.00088333,0.002743264,12.45474329,11.00164838,1.092670453,0.370750873
R3,H1,NF,E,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-12.3885,0,0,0.000405837,0.013236327,130.7994998,53.08326097,14.07723333,0,0,0.00103372,0.003210316,12.45474329,12.87472195,1.092091334,0.371440669
R4,H1,F,B,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-13.251395,3.330220723,33.30220723,,,,,3.03514,0.267687295,2.67687295,,,,,1.091147565,0.367410983
R4,H1,NF,B,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-13.251395,3.24,32.4,,,,,5.083,0.26,2.6,,,,,1.091147565,0.368158351
R4,H1,F,E,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-13.3334,3.423860929,34.23860929,-3.86E-05,-0.001257911,130.7994998,-5.044753783,8.90829,0.27662937,2.766293698,0.000569895,0.001769863,12.45474329,7.097899704,1.091057873,0.369554363
R4,H1,NF,E,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-12.6982,3.666711403,36.66711403,0.000260179,0.008485702,130.7994998,34.03124894,16.3181,0.292632942,2.926329425,0.001090403,0.003386351,12.45474329,13.58069563,1.09175261,0.372258408
R1,H1,F,B,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,-15.2866425,2.945251933,4.349734159,,,,,3.58285,0.249784872,0.368898082,,,,,1.088921493,0.367610871
R1,H1,NF,B,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,-15.2866425,4.59810988,6.790779215,,,,,3.72367,0.29723235,0.438971516,,,,,1.088921493,0.367662264
R1,H1,F,E,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,9.78288,2.332227799,3.444381382,0.011779425,0.074330826,2.782353533,32.7745258,109.382,0.179982308,0.265809245,0.010266662,0.006208905,0.266657146,2.737678666,1.116334543,0.406207517
R1,H1,NF,E,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,12.3719,3.208230924,4.73811815,0.012995929,0.082007238,2.782353533,36.15926927,310.535,0.20799161,0.307175152,0.029773123,0.018005706,0.266657146,7.939216058,1.119164722,0.479507837
R2,H1,F,B,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,-15.2866425,2.37687019,3.510312087,,,,,3.87406,0.248459647,0.366940906,,,,,1.088921493,0.367717149
R2,H1,NF,B,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,-15.2866425,4.185397457,6.181259431,,,,,3.30674,0.290854755,0.429552681,,,,,1.088921493,0.367510104
R2,H1,F,E,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,20.0449,2.799821263,4.134952956,0.016601244,0.104757589,2.782353533,46.1905308,118.686,0.200856951,0.296638237,0.01114157,0.006738018,0.266657146,2.970979268,1.127551486,0.409600284
R2,H1,NF,E,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,6.7385,1.837381487,2.713561081,0.010348961,0.065304276,2.782353533,28.7944695,189.861,0.172982679,0.25547175,0.018102585,0.010947788,0.266657146,4.827183714,1.113006382,0.435547085
R3,H1,F,B,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,-15.2866425,3.438044117,5.077520796,,,,,3.60056,0.333356055,0.492321286,,,,,1.088921493,0.367617334
R3,H1,NF,B,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,-15.2866425,4.520252418,6.675794397,,,,,3.93068,0.302312231,0.446473805,,,,,1.088921493,0.367737812
R3,H1,F,E,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,14.541,2.67,3.943224712,0.014015125,0.088438593,2.782353533,38.99503226,150.384,0.24,0.354447165,0.014243767,0.008614115,0.266657146,3.798202374,1.121535742,0.42115744
R3,H1,NF,E,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,6.84301,3.618044673,5.34335699,0.010398068,0.065614147,2.782353533,28.93110017,175.978,0.19300469,0.285041522,0.016695892,0.010097071,0.266657146,4.45207902,1.113120637,0.430487108
R4,H1,F,B,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,-15.2866425,3.83166875,5.658850525,,,,,4.03857,0.275734274,0.407221799,,,,,1.088921493,0.367777187
R4,H1,NF,B,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,-15.2866425,2.852738765,4.213104867,,,,,3.92499,0.284059603,0.419517171,,,,,1.088921493,0.367735736
R4,H1,F,E,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,14.5235,3.62488059,5.353452704,0.014006902,0.088386706,2.782353533,38.97215371,172.341,0.170936355,0.252449609,0.01633265,0.009877395,0.266657146,4.355217871,1.121516614,0.429161435
R4,H1,NF,E,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,11.8356,3.708376501,5.476764741,0.012743938,0.080417115,2.782353533,35.45813992,182.447,0.191717802,0.283140964,0.017324203,0.01047705,0.266657146,4.619622418,1.118578481,0.432844947
R1,H1,F,B,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-14.3398075,3.71,5.51024326,,,,,5.774,0.35,0.51983427,,,,,1.089957116,0.368410529
R1,H1,NF,B,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-14.3398075,5.309532841,7.88593465,,,,,4.43945,0.31582947,0.469082805,,,,,1.089957116,0.367923488
R1,H1,F,E,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-8.06734,2.88081436,4.278702942,0.002948558,0.01868552,5.510822101,16.24898024,28.7093,0.197055426,0.292674753,0.002226096,0.001397048,0.545743286,1.214876821,1.096817222,0.376779974
R1,H1,NF,E,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-9.08915,3.558241418,5.284845227,0.002468226,0.015641574,5.510822101,13.60195648,57.7039,0.205669027,0.305468025,0.005169168,0.003244054,0.545743286,2.821038523,1.095699749,0.387358538
R2,H1,F,B,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-14.3398075,4.573923222,6.793377253,,,,,4.13485,0.363152471,0.539368856,,,,,1.089957116,0.367812324
R2,H1,NF,B,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-14.3398075,4.95146344,7.354115378,,,,,4.31521,0.32993692,0.490035766,,,,,1.089957116,0.367878147
R2,H1,F,E,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-8.01805,2.572505171,3.820789563,0.002971729,0.018832354,5.510822101,16.37666718,32.7951,0.179632432,0.266797412,0.002781316,0.001745492,0.545743286,1.517884431,1.096871126,0.378270797
R2,H1,NF,E,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-7.332,2.68,3.980445266,0.003294227,0.020876079,5.510822101,18.15389646,44.932,0.25,0.371310193,0.0039417,0.002473723,0.545743286,2.151156123,1.097621391,0.382699038
R3,H1,F,B,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-14.3398075,4.762719446,7.073785102,,,,,3.61969,0.313523964,0.465658574,,,,,1.089957116,0.367624316
R3,H1,NF,B,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-14.3398075,2.015073214,2.992868895,,,,,3.70712,0.362640338,0.538608216,,,,,1.089957116,0.367656224
R3,H1,F,E,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-8.6411,3.156561353,4.688253618,0.002678845,0.016976304,5.510822101,14.76264094,33.7972,0.195871547,0.290916407,0.002928411,0.001837805,0.545743286,1.598160613,1.096189749,0.378636436
R3,H1,NF,E,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-8.634,2.8,4.158674159,0.002682183,0.016997455,5.510822101,14.78103367,38.233,0.26,0.3861626,0.003350403,0.002102638,0.545743286,1.828459992,1.096197514,0.380254905
R4,H1,F,B,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-14.3398075,3.61,5.361719183,,,,,5.191,0.32,0.475277047,,,,,1.089957116,0.368197765
R4,H1,NF,B,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-14.3398075,4.519747208,6.712912827,,,,,4.11239,0.364630602,0.541564237,,,,,1.089957116,0.367804127
R4,H1,F,E,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-7.97124,3.210096513,4.76776622,0.002993733,0.0189718,5.510822101,16.49792963,50.5921,0.209484319,0.311134652,0.004406373,0.002765341,0.545743286,2.404748275,1.096922318,0.384764034
R4,H1,NF,E,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-4.31973,3.893495066,5.782777614,0.004710233,0.029849554,5.510822101,25.95725546,39.2972,0.181164673,0.269073159,0.00341448,0.002142852,0.545743286,1.863429624,1.100915475,0.380643187
R1,H1,F,B,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,-18.446565,29.28,13.06624821,,,,,-0.621,1.4,0.624752305,,,,,1.085465099,0.366076644
